dataset,track,first_model,second_model,comparison_family,metric,common_proteins,replicates,random_seed,point_delta,mean_delta,standard_deviation,percentile_95_ci,probability_delta_positive,one_sided_p_delta_le_zero_plus_one_correction,one_sided_p_delta_ge_zero_plus_one_correction,two_sided_empirical_p_plus_one_correction,nonpositive_replicates,nonnegative_replicates,delong_two_sided_p,bootstrap_holm_p,delong_holm_p
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,roc_auc_full_precision,210,2000,20260826,-0.0540774647366391,-0.054734864201584674,0.021197254427257072,"[-0.09733295136265335, -0.015962719407958178]",0.0025,0.9975012493753124,0.0029985007496251873,0.005997001499250375,1995,5,0.0,0.17991004497751123,0.0
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,aucpr_trapezoid_full_precision,210,2000,20260826,-0.22777425500351717,-0.22400912505485734,0.04532177332747141,"[-0.31712410355413995, -0.13256974479046527]",0.0,1.0,0.0004997501249375312,0.0009995002498750624,2000,0,,0.047976011994003,
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,aps_full_precision,210,2000,20260826,-0.22751663303500058,-0.22374053983586895,0.04531067090112332,"[-0.31681688380785644, -0.13235767707083215]",0.0,1.0,0.0004997501249375312,0.0009995002498750624,2000,0,,0.047976011994003,
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,f1_at_0_5_full_precision,210,2000,20260826,-0.00960797592096474,-0.009413558075450811,0.025463949829884036,"[-0.05845978195783209, 0.04190957137295136]",0.349,0.6511744127936032,0.3493253373313343,0.6986506746626686,1302,698,,1.0,
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,mcc_at_0_5_full_precision,210,2000,20260826,0.015698279853207875,0.015255444910933924,0.03403666129231274,"[-0.04842931388814828, 0.08491058060422085]",0.667,0.3333333333333333,0.6671664167916042,0.6666666666666666,666,1334,,1.0,
CAID2,disorder_nox,A10-locked,LoRA-DR-Suite 650M,primary,fmax_full_precision,210,2000,20260826,0.006585573616471052,-0.00448943946777499,0.026570211414334674,"[-0.06591265990259858, 0.03615252149208366]",0.504,0.4962518740629685,0.504247876061969,0.992503748125937,992,1008,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,roc_auc_full_precision,210,2000,20260826,0.001314292875805645,0.0012527622866483042,0.007381122757322425,"[-0.013908385953040097, 0.015094692809509756]",0.584,0.41629185407296354,0.584207896051974,0.8325837081459271,832,1168,0.05188800526516909,1.0,0.10377601053033818
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,aucpr_trapezoid_full_precision,210,2000,20260826,-0.013887706827331203,-0.012905054898027504,0.013234807711486985,"[-0.03869352220760478, 0.01492524790836841]",0.1485,0.8515742128935532,0.1489255372313843,0.2978510744627686,1703,297,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,aps_full_precision,210,2000,20260826,-0.01388580978374343,-0.012904640894941581,0.013241067720188918,"[-0.038732211783848364, 0.014950664113216546]",0.149,0.8510744627686156,0.14942528735632185,0.2988505747126437,1702,298,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,f1_at_0_5_full_precision,210,2000,20260826,-0.0013834296385928369,-0.0010378598581853144,0.009418662633682181,"[-0.020440596802330603, 0.016741896988931044]",0.454,0.5462268865567217,0.4542728635682159,0.9085457271364318,1092,908,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,mcc_at_0_5_full_precision,210,2000,20260826,0.014526607111146894,0.014827668213980313,0.013677325336891628,"[-0.013268426345088563, 0.04137775846816346]",0.8575,0.14292853573213393,0.8575712143928036,0.28585707146426786,285,1715,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Released-13,primary,fmax_full_precision,210,2000,20260826,0.020986395957145798,0.020686156520178068,0.0092181282427583,"[0.0024280665867767144, 0.03941951453788927]",0.985,0.015492253873063468,0.9850074962518741,0.030984507746126936,30,1970,,0.8675662168915542,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,roc_auc_full_precision,210,2000,20260826,0.003227659031710628,0.003234508998075408,0.007249544069967487,"[-0.011304551347315788, 0.017163892397503367]",0.681,0.3193403298350825,0.6811594202898551,0.638680659670165,638,1362,2.61490437172021e-06,1.0,5.22980874344042e-06
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,aucpr_trapezoid_full_precision,210,2000,20260826,-0.006125568558704053,-0.0058541282206696936,0.015744637074932982,"[-0.03570721676427734, 0.027195013361460525]",0.3315,0.6686656671664168,0.33183408295852074,0.6636681659170415,1337,663,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,aps_full_precision,210,2000,20260826,-0.006114553310187065,-0.00584211866622317,0.01575007219702126,"[-0.03570618710963562, 0.02719399107402436]",0.332,0.6681659170414792,0.33233383308345826,0.6646676661669165,1336,664,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,f1_at_0_5_full_precision,210,2000,20260826,-0.00013903341182042173,0.00025241961749035316,0.010067306719060535,"[-0.020515376463791153, 0.0193853358596416]",0.512,0.48825587206396803,0.5122438780609695,0.9765117441279361,976,1024,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,mcc_at_0_5_full_precision,210,2000,20260826,0.019453654850956015,0.01980087001926077,0.014725008708975683,"[-0.010170154816885013, 0.0475875684740686]",0.9075,0.09295352323838081,0.9075462268865567,0.18590704647676162,185,1815,,1.0,
CAID2,disorder_nox,A10-locked,PUNCH2-Light Paper-8,supplementary,fmax_full_precision,210,2000,20260826,0.022119323503809074,0.021890709219710373,0.009083106226825618,"[0.004569631431778004, 0.040490445825075945]",0.9905,0.009995002498750625,0.9905047476261869,0.01999000499750125,19,1981,,0.3598200899550225,
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,roc_auc_full_precision,348,2000,20260827,0.03738909038707072,0.03720579782986679,0.008007281260969931,"[0.02274801179104733, 0.05341466597666026]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,0.0,0.047976011994003,0.0
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,aucpr_trapezoid_full_precision,348,2000,20260827,0.09332259687154554,0.09241911286676888,0.017351411659284475,"[0.060005221129934255, 0.12762221011507388]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,aps_full_precision,348,2000,20260827,0.09340792004004372,0.09250119306748678,0.017355827036637808,"[0.06006760414758292, 0.12773119555051923]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,f1_at_0_5_full_precision,348,2000,20260827,0.13228513464571956,0.13187893083320051,0.024676485173871936,"[0.08732253349679625, 0.18158654633179103]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,mcc_at_0_5_full_precision,348,2000,20260827,0.1668001085662293,0.16608879104560195,0.03101596987924688,"[0.10946463080295644, 0.22873169132344512]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,LoRA-DR-Suite 650M,primary,fmax_full_precision,348,2000,20260827,0.10039113157685486,0.09939835874318483,0.017014511055204757,"[0.06793702863942307, 0.13379796537078645]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,roc_auc_full_precision,348,2000,20260827,0.007777297914154824,0.007816368477606592,0.004331623015054103,"[-0.0007551621661836148, 0.016670947820592828]",0.967,0.033483258370814596,0.967016491754123,0.06696651674162919,66,1934,2.0218026860180334e-49,1.0,8.087210744072134e-49
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,aucpr_trapezoid_full_precision,348,2000,20260827,0.02166533242523161,0.021748884331570413,0.005080413223076349,"[0.012406979199436724, 0.03228404189107774]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,aps_full_precision,348,2000,20260827,0.021664832314204463,0.02174785964799647,0.005080219140938373,"[0.012405830115065321, 0.03228269333599481]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,f1_at_0_5_full_precision,348,2000,20260827,0.026300563219601836,0.026292128026388428,0.007891347825711464,"[0.010211152478662956, 0.041587165921330015]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,mcc_at_0_5_full_precision,348,2000,20260827,0.027158494473528805,0.027197222734765245,0.010441819920162396,"[0.005283355943836584, 0.04704975043598726]",0.996,0.004497751124437781,0.9960019990004998,0.008995502248875561,8,1992,,0.2608695652173913,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Released-13,primary,fmax_full_precision,348,2000,20260827,0.026513703040185854,0.02653882253020599,0.005371257960039391,"[0.016409975671619795, 0.0373228011104695]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.047976011994003,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,roc_auc_full_precision,348,2000,20260827,0.0090415127944391,0.009104991231365172,0.00417534617822582,"[0.0009963543434145545, 0.01755735613241366]",0.9845,0.015992003998001,0.9845077461269365,0.031984007996002,31,1969,1.0119421999908362e-67,0.511744127936032,3.035826599972509e-67
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,aucpr_trapezoid_full_precision,348,2000,20260827,0.02571416153081707,0.025852550532927916,0.005265606630209516,"[0.015905988862609015, 0.036989081104573183]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.0239880059970015,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,aps_full_precision,348,2000,20260827,0.025713493002689547,0.025851171581553978,0.005265348833439697,"[0.015905716017322297, 0.0369868176537026]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.0239880059970015,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,f1_at_0_5_full_precision,348,2000,20260827,0.03707077105833245,0.03704100428179308,0.00873679019900905,"[0.02001645076211326, 0.0542308358821812]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.0239880059970015,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,mcc_at_0_5_full_precision,348,2000,20260827,0.03787540281721391,0.0379123897641567,0.011212081679349334,"[0.015881952583327884, 0.05940575973915848]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.0239880059970015,
CAID2,disorder_pdb,A10-locked,PUNCH2-Light Paper-8,supplementary,fmax_full_precision,348,2000,20260827,0.031318960460688605,0.0314947716915717,0.005638295611057301,"[0.02071606776436634, 0.042652885680270855]",1.0,0.0004997501249375312,1.0,0.0009995002498750624,0,2000,,0.0239880059970015,
