dataset,track,stratification,stratum,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,distance_to_nearest_observed_transition,no-transition,A10-locked,29,7530,7530,0,1.0,0.9337811330008658,-0.06621886699913415,0.03888574359201518,0.06621886699913414,0.14049138575432737,0.047543160690571046,0.9756495714868726,0.0,7172,0,0,358,,,,
CAID2,disorder_nox,distance_to_nearest_observed_transition,no-transition,LoRA-DR-Suite 650M,29,7530,7530,0,1.0,0.7971725291067994,-0.20282747089320063,0.0931152583411899,0.20282747089320052,0.3106651556213371,0.11646746347941567,0.9381654092928153,0.0,6653,0,0,877,,,,
CAID2,disorder_nox,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Paper-8,29,7530,7530,0,1.0,0.7057858665831341,-0.29421413341686586,0.14667317205767375,0.29421413341686586,0.5203116894835386,0.14183266932270916,0.9236706689536878,0.0,6462,0,0,1068,,,,
CAID2,disorder_nox,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Released-13,29,7530,7530,0,1.0,0.7620155049978486,-0.23798449500215135,0.11339474661239417,0.23798449500215138,0.4385289315649003,0.11779548472775564,0.9374162139278911,0.0,6643,0,0,887,,,,
CAID2,disorder_nox,distance_to_nearest_observed_transition,0-2,A10-locked,181,2462,1239,1223,0.5032493907392364,0.6699136348789277,0.1666642441396914,0.37394369363931085,0.46860062423253457,1.4963174425969339,0.45735174654752236,0.6133241758241759,0.0888925908123634,893,443,780,346,0.5386270810276798,0.5226278988009481,0.5232583986780408,0.6697322153097106
CAID2,disorder_nox,distance_to_nearest_observed_transition,0-2,LoRA-DR-Suite 650M,181,2462,1239,1223,0.5032493907392364,0.49546780007500413,-0.00778159066423223,0.32743163113352947,0.47279188743282696,0.987566492285701,0.46222583265637696,0.5355102040816326,0.07566550485453907,656,668,555,583,0.5505871126254456,0.5409310611318363,0.5413200909036737,0.6721266721266721
CAID2,disorder_nox,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Paper-8,181,2462,1239,1223,0.5032493907392364,0.42331911036190084,-0.07993028037733552,0.34222981462043356,0.475039080982372,1.104535589748795,0.4752233956133225,0.49655765920826156,0.05068277494841147,577,715,508,662,0.5490586993836851,0.5237163882687451,0.5244047152253595,0.6695487706025398
CAID2,disorder_nox,distance_to_nearest_observed_transition,0-2,PUNCH2-Light Released-13,181,2462,1239,1223,0.5032493907392364,0.46005592926222577,-0.043193461477010586,0.3440214861433586,0.47051350805296505,1.1236772235969095,0.46506904955320877,0.521920668058455,0.07039009485088177,625,692,531,614,0.5516014352301892,0.5240694845699136,0.5247498815060173,0.6695487706025398
CAID2,disorder_nox,distance_to_nearest_observed_transition,16+,A10-locked,181,141390,18167,123223,0.12848857769290614,0.48039768617402306,0.3519091084811169,0.3151388646032107,0.37383943420136573,1.5704274527814344,0.3452012164933871,0.4071806830879852,0.3615903507288529,16762,75820,47403,1405,0.80372763138689,0.288762033277579,0.28882218293580675,0.453403125789998
CAID2,disorder_nox,distance_to_nearest_observed_transition,16+,LoRA-DR-Suite 650M,181,141390,18167,123223,0.12848857769290614,0.29327847488850967,0.16478989719560352,0.15695246688206588,0.25947795665904694,0.47392928898542763,0.23914704010184595,0.4030717627328096,0.3073488265755854,11416,96161,27062,6751,0.8221814347385652,0.4747688421690451,0.47453214922347986,0.4327777223275776
CAID2,disorder_nox,distance_to_nearest_observed_transition,16+,PUNCH2-Light Paper-8,181,141390,18167,123223,0.12848857769290614,0.3495965222583457,0.22110794456543956,0.20582451520612494,0.298652045454634,0.6750147292628372,0.2933658674588019,0.42362259431668176,0.36265252598673625,15243,84668,38555,2924,0.7955220389777095,0.2783713352488635,0.27840471811406003,0.4278932722213128
CAID2,disorder_nox,distance_to_nearest_observed_transition,16+,PUNCH2-Light Released-13,181,141390,18167,123223,0.12848857769290614,0.37554198766768304,0.2470534099747769,0.22575444376859868,0.31145081715036493,0.7395577154614192,0.30307659664757053,0.4209658676323541,0.3632866007162826,15577,82961,40262,2590,0.7980937308627079,0.28542013754230355,0.2854580039978658,0.42793936316820186
CAID2,disorder_nox,distance_to_nearest_observed_transition,3-5,A10-locked,181,2432,1223,1209,0.5028782894736842,0.6659093783570724,0.16303108888338824,0.3346683407340789,0.42395279996744245,1.366932663185032,0.4050164473684211,0.656435298221137,0.2007928076750521,941,506,703,282,0.5965381605795185,0.5522729529733283,0.552915195174753,0.6747846747846747
CAID2,disorder_nox,distance_to_nearest_observed_transition,3-5,LoRA-DR-Suite 650M,181,2432,1223,1209,0.5028782894736842,0.49544251241920645,-0.007435777054477732,0.28843473333945957,0.4306100532523807,0.8678304617290324,0.4029605263157895,0.5957095709570956,0.19416794813492028,722,730,479,501,0.6255069805566996,0.5947945748533787,0.5952581464374824,0.6911764705882353
CAID2,disorder_nox,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Paper-8,181,2432,1223,1209,0.5028782894736842,0.42665201775526324,-0.07622627171842095,0.3086532698261787,0.4402781982299342,1.0051555106130579,0.4309210526315789,0.5513698630136986,0.13914787178085472,644,740,469,579,0.6116310824985949,0.5528561914677105,0.5534430006059663,0.6880448318804483
CAID2,disorder_nox,distance_to_nearest_observed_transition,3-5,PUNCH2-Light Released-13,181,2432,1223,1209,0.5028782894736842,0.4650879462424342,-0.03779034323124997,0.3077396977526995,0.4312000600013981,1.0180239981793646,0.4120065789473684,0.5873146622734761,0.17604903658813506,713,717,492,510,0.613938659833208,0.5524004369549309,0.5529806280168281,0.697986577181208
CAID2,disorder_nox,distance_to_nearest_observed_transition,6-15,A10-locked,181,6988,3156,3832,0.45163136805953064,0.6530208876488939,0.20138951958936324,0.2882795083298833,0.3627965960169504,1.2563109777774417,0.33786491127647394,0.691815689857721,0.3697378130190803,2650,1977,1855,506,0.6949657311784426,0.5712589585749798,0.5715858683780886,0.6928523714094856
CAID2,disorder_nox,distance_to_nearest_observed_transition,6-15,LoRA-DR-Suite 650M,181,6988,3156,3832,0.45163136805953064,0.4888501301501903,0.03721876209065966,0.24278051753055727,0.37411358835626646,0.7409921131991486,0.3392959358900973,0.6418969944117203,0.3221270492564387,2125,2492,1340,1031,0.714746086256486,0.6372218097599364,0.6372398291086602,0.6808782231299463
CAID2,disorder_nox,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Paper-8,181,6988,3156,3832,0.45163136805953064,0.44271853084075563,-0.008912837218775005,0.26489016196670456,0.3862296385438466,0.8849111169259718,0.3484544934172868,0.6324528301886793,0.30383157167550173,2095,2458,1374,1061,0.6781523942201091,0.5542611051810706,0.5545138552625697,0.6779790762949732
CAID2,disorder_nox,distance_to_nearest_observed_transition,6-15,PUNCH2-Light Released-13,181,6988,3156,3832,0.45163136805953064,0.4784448954539353,0.02681352739440468,0.26717587491402034,0.3775725977396251,0.9083516574095568,0.34544934172867775,0.6430050280981959,0.31383464489945834,2174,2400,1432,982,0.6787011881798529,0.5510147010332342,0.5512616815457572,0.6797453553332466
CAID2,disorder_pdb,distance_to_nearest_observed_transition,no-transition,A10-locked,201,55424,22500,32924,0.40596131639722866,0.43494687348856925,0.028985557091340597,0.04552746989863906,0.08768564936631243,0.17269076431927963,0.05528290993071593,0.9326474984612679,0.8859241353208438,21214,31146,1778,1286,0.9801522361262976,0.9750652717770777,0.9750659966975603,0.9338638611635642
CAID2,disorder_pdb,distance_to_nearest_observed_transition,no-transition,LoRA-DR-Suite 650M,201,55424,22500,32924,0.40596131639722866,0.3539647900416661,-0.05199652635556257,0.09375345658889281,0.18273962900735888,0.30664504461169734,0.1365653868360277,0.8172754266953142,0.7163241093408471,16927,30928,1996,5573,0.9451055137083384,0.9241920606755742,0.9241510189338983,0.8632908682153945
CAID2,disorder_pdb,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Paper-8,201,55424,22500,32924,0.40596131639722866,0.32096603481648023,-0.08499528158074843,0.079730508169043,0.16294490359087396,0.28564760138646844,0.0859375,0.8876677436852903,0.8225472636022878,18819,31842,1082,3681,0.9591868565990361,0.9480099276373487,0.9480118534317064,0.9009949802796702
CAID2,disorder_pdb,distance_to_nearest_observed_transition,no-transition,PUNCH2-Light Released-13,201,55424,22500,32924,0.40596131639722866,0.3455126866093028,-0.06044862978792587,0.06914368565804369,0.14449511202193635,0.25849374057633273,0.07893692263279446,0.8983007508310282,0.8363889069300077,19322,31727,1197,3178,0.9600855181630421,0.9502837514246945,0.9502853943163163,0.9045246522533084
