dataset,track,scope,stratum,proteins,first_model,second_model,residues,score_pearson,score_spearman,mean_absolute_score_difference,threshold_disagreement_residues,threshold_disagreement_rate,both_correct,a10_only_correct,comparator_only_correct,both_wrong,both_correct_rate,a10_only_correct_rate,comparator_only_correct_rate,both_wrong_rate,either_model_correct_rate,a10_net_correct_rate_advantage,error_overlap_jaccard
CAID2,disorder_nox,overall,all,210,A10-locked,LoRA-DR-Suite 650M,160802,0.7652559744953653,0.7765556398642145,0.22402032697919885,32959,0.204966356139849,97914,9250,23709,29929,0.6089103369361077,0.05752416014726185,0.14744219599258715,0.18612330692404325,0.8138766930759568,-0.0899180358453253,0.47590955349192215
CAID2,disorder_nox,overall,all,210,A10-locked,PUNCH2-Light Paper-8,160802,0.8737022191958853,0.8983824463800179,0.16962337972917818,18972,0.11798360716906506,100897,6267,12705,40933,0.6274611012300843,0.03897339585328541,0.07901021131577965,0.2545552916008507,0.7454447083991492,-0.04003681546249425,0.6832985560470746
CAID2,disorder_nox,overall,all,210,A10-locked,PUNCH2-Light Released-13,160802,0.8868457789952789,0.8999725724915936,0.14831115247399526,17656,0.1097996293578438,101005,6159,11497,42141,0.6281327346674792,0.03830176241589035,0.07149786694195345,0.2620676359746769,0.737932364025323,-0.03319610452606311,0.7047343512216332
CAID2,disorder_nox,protein_length,201-500,64,A10-locked,LoRA-DR-Suite 650M,21957,0.8330019545921412,0.7282081351588806,0.15489425027771053,2529,0.11517966935373684,14282,1198,1331,5146,0.6504531584460537,0.05456118777610785,0.060618481577629,0.2343671722002095,0.7656328277997905,-0.006057293801521155,0.6704885993485342
CAID2,disorder_nox,protein_length,201-500,64,A10-locked,PUNCH2-Light Paper-8,21957,0.874225904004705,0.8785598337904911,0.19648065175862459,2639,0.1201894612196566,14168,1312,1327,5150,0.6452611923304641,0.05975315389169741,0.060436307327959196,0.23454934644987932,0.7654506535501207,-0.0006831534362617844,0.6611888560790858
CAID2,disorder_nox,protein_length,201-500,64,A10-locked,PUNCH2-Light Released-13,21957,0.8977020886260256,0.890414926573297,0.16216689795862185,2418,0.11012433392539965,14332,1148,1270,5207,0.6527303365669263,0.052284009655235233,0.05784032427016441,0.23714532950767409,0.7628546704923259,-0.00555631461492918,0.6828852459016393
CAID2,disorder_nox,protein_length,1001+,43,A10-locked,LoRA-DR-Suite 650M,86789,0.7332554338135998,0.7659983363667974,0.2466777286002998,20513,0.23635483759462605,52211,4583,15930,14065,0.6015854543778589,0.052806231204415306,0.18354860639021073,0.16205970802751501,0.837940291972485,-0.13074237518579543,0.4067615246688646
CAID2,disorder_nox,protein_length,1001+,43,A10-locked,PUNCH2-Light Paper-8,86789,0.8531267596149225,0.8797633979028331,0.16199218957655612,10999,0.12673265045109403,53571,3223,7776,22219,0.6172556429962323,0.03713604258604201,0.08959660786505202,0.25601170655267375,0.7439882934473263,-0.05246056527901001,0.6688843398157626
CAID2,disorder_nox,protein_length,1001+,43,A10-locked,PUNCH2-Light Released-13,86789,0.8623950754930887,0.879406691475307,0.14697588190113137,10540,0.12144396179239304,53305,3489,7051,22944,0.6141907384576386,0.04020094712463561,0.08124301466775743,0.2643652997499683,0.7356347002500316,-0.04104206754312183,0.6852227929757496
CAID2,disorder_nox,protein_length,501-1000,64,A10-locked,LoRA-DR-Suite 650M,47218,0.8051365220683387,0.7998118556171442,0.2230370927325973,9056,0.19179126604261088,28343,2905,6151,9819,0.6002583760430344,0.06152314795205218,0.1302681180905587,0.2079503579143547,0.7920496420856453,-0.0687449701385065,0.5202119205298014
CAID2,disorder_nox,protein_length,501-1000,64,A10-locked,PUNCH2-Light Paper-8,47218,0.9094177544667025,0.9097940602729134,0.16142703084213436,4245,0.08990215595747385,30173,1075,3170,12800,0.6390147824981999,0.022766741496886782,0.06713541446058706,0.2710830615443263,0.7289169384556737,-0.044368672963700284,0.7509533587562335
CAID2,disorder_nox,protein_length,501-1000,64,A10-locked,PUNCH2-Light Released-13,47218,0.9256405589997656,0.9127755714703005,0.13495933285134906,3686,0.07806345037909272,30307,941,2745,13225,0.641852683298742,0.019928840696344614,0.058134609682748105,0.28008386632216525,0.7199161336778347,-0.03820576898640349,0.7820353615989593
CAID2,disorder_nox,protein_length,1-200,39,A10-locked,LoRA-DR-Suite 650M,4838,0.7641253701211492,0.8099116812584696,0.14088977540765604,861,0.17796610169491525,3078,564,297,899,0.6362133112856553,0.11657709797436958,0.06138900372054568,0.18582058701942952,0.8141794129805705,0.05518809425382389,0.5107954545454545
