dataset,track,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,A10-locked,210,160802,31315,129487,0.19474260270394647,0.5148376868432509,0.32009508413930443,0.30223102758740766,0.3611631461647389,1.4856037398586184,0.3335655029166304,0.5144739938809132,0.4084275764143168,28418,78746,50741,2897,0.7807674567316163,0.3605817080016462,0.3606210577771879,0.5373743142093778
CAID2,disorder_nox,LoRA-DR-Suite 650M,210,160802,31315,129487,0.19474260270394647,0.3315269420289441,0.13678433932499764,0.1622916841307963,0.2676611122974306,0.49171139703141964,0.24364746707130508,0.5240819698018779,0.39272929656110894,21572,100051,29436,9743,0.8348449214682554,0.5883559630051634,0.5881376908121885,0.5307887405929067
CAID2,disorder_nox,PUNCH2-Light Paper-8,210,160802,31315,129487,0.19474260270394647,0.37261704647880933,0.17787444377486286,0.20926508500033825,0.30709270183877,0.6884612336981802,0.29352868745413613,0.5146130272927336,0.3889739215633608,25021,88581,40906,6294,0.7775397976999057,0.36670727656035024,0.36673561108737496,0.5152549907055687
CAID2,disorder_nox,PUNCH2-Light Released-13,210,160802,31315,129487,0.19474260270394647,0.4007598344641534,0.20601723176020695,0.22534366552749457,0.31513049837695184,0.742889250841529,0.30036939839056725,0.515857423519506,0.3939009693031699,25732,86770,42717,5583,0.7794531638558106,0.3744694148289774,0.3745068675609313,0.516387918252232
CAID2,disorder_pdb,A10-locked,348,130877,37072,93805,0.2832583265203206,0.31224081536243264,0.02898248884211202,0.06085538859487723,0.10959805614932247,0.22340347890552298,0.07562826165025176,0.8667833109017496,0.8139848467160302,32201,88778,5027,4871,0.9575679751694285,0.9335209430446846,0.9335218070402551,0.8719740664337137
CAID2,disorder_pdb,LoRA-DR-Suite 650M,348,130877,37072,93805,0.2832583265203206,0.2683364888746698,-0.014921837645650804,0.09692511772528746,0.1851681533637878,0.3159327216395256,0.13793103448275862,0.7344981762560301,0.6471847381498009,24970,87855,5950,12102,0.9201788847823578,0.840198346173139,0.8401138870002114,0.7715829348568588
CAID2,disorder_pdb,PUNCH2-Light Paper-8,348,130877,37072,93805,0.2832583265203206,0.2257584816477326,-0.057499844872588024,0.07560911109815488,0.1443029628725498,0.2671055622839248,0.08857935313309444,0.8297125398434172,0.7761094438988163,28243,91041,2764,8829,0.9485264623749894,0.9078067815138675,0.9078083140375656,0.8406551059730251
CAID2,disorder_pdb,PUNCH2-Light Released-13,348,130877,37072,93805,0.2832583265203206,0.2430031346416605,-0.04025519187866011,0.06928649935135746,0.13333472710823752,0.2501128060444025,0.08452974930660086,0.8404827476821478,0.7868263522425014,29145,90669,3136,7927,0.9497906772552737,0.911855610619453,0.9118569747260507,0.8454603633935278
CAID3,disorder_nox,A10-locked,204,99977,26367,73610,0.2637306580513518,0.5090951485232459,0.24536449047189407,0.2389518515474585,0.29229155236222504,1.0962907416966836,0.26804164957940324,0.6455572309076,0.5184136231303342,24404,48775,24835,1963,0.8521064029233374,0.605799809007589,0.6058384780945609,0.6653282771953305
CAID3,disorder_nox,LoRA-DR-Suite 650M,204,99977,26367,73610,0.2637306580513518,0.380196231537486,0.11646557348613418,0.15964686490721852,0.2609980592748836,0.4966481947330536,0.22204106944597257,0.6451623215741437,0.5023308050920606,20181,57597,16013,6186,0.8599948684481653,0.6955791012194649,0.6955149136410912,0.6510240065102401
CAID3,disorder_nox,PUNCH2-Light Paper-8,204,99977,26367,73610,0.2637306580513518,0.36670552735885853,0.10297486930750671,0.17561902705282417,0.2651943034238695,0.5849630310350885,0.23697450413595128,0.6446910617876425,0.5026219188418611,21494,54791,18819,4873,0.8260167135349638,0.5418797907505447,0.5419244854542848,0.6451417034776933
CAID3,disorder_nox,PUNCH2-Light Released-13,204,99977,26367,73610,0.2637306580513518,0.3875818372121368,0.12385117916078497,0.17757122000830222,0.26123814076556806,0.5818569772750085,0.2407653760364884,0.6457281624843624,0.5052857617799105,21937,53969,19641,4430,0.8399365124965527,0.579245090317666,0.5792858958222552,0.6468849961919269
CAID3,disorder_pdb,A10-locked,319,99239,31401,67838,0.3164179405274136,0.3634257256213129,0.0470077850938993,0.07701960954500327,0.1351426846986638,0.2651848846719448,0.10076683561906105,0.845464379539484,0.7715425621744761,27355,61884,5954,4046,0.9535842549359882,0.9309654077244787,0.9309664795492332,0.8608332651223704
CAID3,disorder_pdb,LoRA-DR-Suite 650M,319,99239,31401,67838,0.3164179405274136,0.3141898894949423,-0.002228051032471312,0.09896161647602943,0.18844504884107743,0.3249041813201342,0.1356825441610657,0.7737697205934239,0.6793974692032949,23027,62747,5091,8374,0.9201374052415164,0.8668394038070357,0.8667428485576336,0.779280855790739
CAID3,disorder_pdb,PUNCH2-Light Paper-8,319,99239,31401,67838,0.3164179405274136,0.24404665573710538,-0.07237128479030824,0.08033749825747824,0.14852239740535877,0.284471847830876,0.09284656233940286,0.8372947201130143,0.7824779183216044,23708,66317,1521,7693,0.9509222551346361,0.9225165236178101,0.9225179223392903,0.8511779913174966
CAID3,disorder_pdb,PUNCH2-Light Released-13,319,99239,31401,67838,0.3164179405274136,0.2602501016751751,-0.05616783885223853,0.0730596927843926,0.13595310691129797,0.26500236673319544,0.08822136458448795,0.8479057728054481,0.7929970180327494,24404,66080,1758,6997,0.9524903488508097,0.9258607312240634,0.9258621093020509,0.8551981629247825
