dataset,track,true_state,segment_length_bin,model,proteins,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,disordered,101+,A10-locked,86,23950,23950,0,1.0,0.9163929194642062,-0.0836070805357938,0.0596585611434829,0.08360708053579374,0.21758659542367476,0.07160751565762004,0.9628667316228212,0.0,22235,0,0,1715,,,,
CAID2,disorder_nox,disordered,101+,LoRA-DR-Suite 650M,86,23950,23950,0,1.0,0.6684252544919133,-0.33157474550808674,0.20417848279223214,0.33157474550808685,0.6348947124121281,0.31144050104384136,0.8155584678914962,0.0,16491,0,0,7459,,,,
CAID2,disorder_nox,disordered,101+,PUNCH2-Light Paper-8,86,23950,23950,0,1.0,0.7023945063326221,-0.2976054936673779,0.15818621882619716,0.2976054936673779,0.570809833187816,0.15006263048016702,0.9188823184218842,0.0,20356,0,0,3594,,,,
CAID2,disorder_nox,disordered,101+,PUNCH2-Light Released-13,86,23950,23950,0,1.0,0.7549095328699499,-0.24509046713005012,0.12822242204252635,0.24509046713005012,0.49245632430825903,0.13215031315240083,0.929250027942327,0.0,20785,0,0,3165,,,,
CAID2,disorder_nox,disordered,16-30,A10-locked,49,1241,1241,0,1.0,0.7201955903406124,-0.2798044096593876,0.18423861105284647,0.2798044096593876,0.5897160147930852,0.2506043513295729,0.8567480423767849,0.0,930,0,0,311,,,,
CAID2,disorder_nox,disordered,16-30,LoRA-DR-Suite 650M,49,1241,1241,0,1.0,0.5881340334904915,-0.41186596650950846,0.25952003875512814,0.4118659665095084,0.7671309284387895,0.38114423851732476,0.7645594823295172,0.0,768,0,0,473,,,,
CAID2,disorder_nox,disordered,16-30,PUNCH2-Light Paper-8,49,1241,1241,0,1.0,0.42763411847566474,-0.5723658815243353,0.4198740217631755,0.5723658815243352,1.3210614388310697,0.5261885576148267,0.6429743028977583,0.0,588,0,0,653,,,,
CAID2,disorder_nox,disordered,16-30,PUNCH2-Light Released-13,49,1241,1241,0,1.0,0.4694283234559226,-0.5305716765440773,0.3846869967199705,0.5305716765440774,1.2220547300379212,0.49153908138597907,0.6741452991452992,0.0,631,0,0,610,,,,
CAID2,disorder_nox,ordered,101+,A10-locked,151,124361,0,124361,0.0,0.417255217310303,0.417255217310303,0.35330165054974344,0.417255217310303,1.7760132219024853,0.38596505335273923,0.0,0.0,0,76362,47999,0,,,,
CAID2,disorder_nox,ordered,101+,LoRA-DR-Suite 650M,151,124361,0,124361,0.0,0.24222418008852922,0.24222418008852922,0.14408713617588811,0.24222418008852922,0.43440326188248185,0.21731089328648048,0.0,0.0,0,97336,27025,0,,,,
