dataset,track,model,proteins,stratification,stratum,residues,positive_labels,negative_labels,prevalence,mean_score,calibration_bias,brier_score,mean_absolute_error,log_loss,error_rate_at_0_5,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,tp,tn,fp,fn,roc_auc_full_precision,aucpr_trapezoid_full_precision,aps_full_precision,fmax_full_precision
CAID2,disorder_nox,A10-locked,64,protein_length,201-500,21957,9627,12330,0.4384478753928132,0.6656463080870446,0.2271984326942314,0.2609256649776428,0.3116816234866056,1.2091351437752993,0.29498565377783853,0.7325874241360802,0.48084681937062373,8872,6608,5722,755,0.7740250180053381,0.6663226570147146,0.6663636505458133,0.7372378145157846
CAID2,disorder_nox,LoRA-DR-Suite 650M,64,protein_length,201-500,21957,9627,12330,0.4384478753928132,0.5921696151527527,0.15372173975993947,0.21130781788611372,0.31375998295856405,0.6637388019802888,0.28892835997631733,0.725153799497444,0.46535559059033865,8369,7244,5086,1258,0.8218556412078054,0.7599545353613886,0.7597172958602381,0.7317869977131656
CAID2,disorder_nox,PUNCH2-Light Paper-8,64,protein_length,201-500,21957,9627,12330,0.4384478753928132,0.47754896914594436,0.039101093753131144,0.21646718983562888,0.3274267677608371,0.7025865775418371,0.29430250034157673,0.702841901958981,0.4297601368834712,7642,7853,4477,1985,0.7622931197410365,0.6500959410232153,0.650174020419634,0.7230408573342265
CAID2,disorder_nox,PUNCH2-Light Released-13,64,protein_length,201-500,21957,9627,12330,0.4384478753928132,0.5131100441135583,0.0746621687207451,0.2211444867818182,0.3180913509324407,0.730001937914215,0.2894293391629093,0.7114118341583036,0.44406969907388155,7833,7769,4561,1794,0.7636661504953922,0.6512902708778177,0.6513992031519695,0.7300331717274815
CAID2,disorder_nox,A10-locked,43,protein_length,1001+,86789,7928,78861,0.09134798188710551,0.44297946109926273,0.3516314792121572,0.31575386388582616,0.3785312356019278,1.5729920137605777,0.34560831441772577,0.31126724989093246,0.28649738134575414,6778,50016,28845,1150,0.7789664501019952,0.20407482557212625,0.20416615672630134,0.3429009705301041
CAID2,disorder_nox,LoRA-DR-Suite 650M,43,protein_length,1001+,86789,7928,78861,0.09134798188710551,0.22542224668564623,0.13407426479854073,0.13636907524866707,0.2378495413231118,0.4090790662089863,0.21486593923193031,0.23748773307163887,0.14200696957209052,2904,65237,13624,5024,0.7559285087451767,0.21716698508817006,0.21731031323506703,0.3193410180556972
CAID2,disorder_nox,PUNCH2-Light Paper-8,43,protein_length,1001+,86789,7928,78861,0.09134798188710551,0.32126050815680096,0.22991252626969544,0.2022660260450192,0.2947838689383793,0.6706981212542101,0.2931477491387157,0.3204957000160248,0.2789262249138336,6000,55347,23514,1928,0.7738790947185221,0.191381504774834,0.19142584391602444,0.3454092644861365
CAID2,disorder_nox,PUNCH2-Light Released-13,43,protein_length,1001+,86789,7928,78861,0.09134798188710551,0.34744148663355845,0.2560935047464529,0.22374810484910146,0.31123011224537095,0.7339139555613774,0.30456624687460393,0.3217960230917255,0.286594040767978,6271,54085,24776,1657,0.777910411344535,0.19821835066899163,0.1982659845907191,0.3424633451707043
CAID2,disorder_nox,A10-locked,64,protein_length,501-1000,47218,10833,36385,0.22942521919606929,0.5548889958184277,0.32546377662235837,0.3070275622487097,0.3612781765154789,1.525688182795649,0.3382184760049134,0.5595454796182912,0.43555934728902695,10144,21104,15281,689,0.778089999306244,0.40408342777959994,0.404186938192046,0.5989863695029434
CAID2,disorder_nox,LoRA-DR-Suite 650M,64,protein_length,501-1000,47218,10833,36385,0.22942521919606929,0.3642121358728015,0.1347869166767322,0.18301551368235405,0.2968202972921958,0.5516373978890899,0.2694735058664069,0.5485381776894692,0.3917035996206119,7730,26764,9621,3103,0.8036883315820718,0.5254600561491105,0.525300301197844,0.5641992090954029
CAID2,disorder_nox,PUNCH2-Light Paper-8,64,protein_length,501-1000,47218,10833,36385,0.22942521919606929,0.40813043919171293,0.17870521999564365,0.21560727571579597,0.31579528718053074,0.7015634253008804,0.2938498030412131,0.5748429600122567,0.4423368238466106,9380,23963,12422,1453,0.7757433988423521,0.4144765218728278,0.4145878973157091,0.5758398166576202
CAID2,disorder_nox,PUNCH2-Light Released-13,64,protein_length,501-1000,47218,10833,36385,0.22942521919606929,0.4365526966111165,0.20712747741504722,0.23009659242016237,0.3195739461676839,0.7596370418800669,0.3000127070185099,0.5741598028016593,0.4441325080758898,9550,23502,12883,1283,0.7787945429240236,0.4176795273437288,0.4177757136699032,0.5750432329116227
CAID2,disorder_nox,A10-locked,39,protein_length,1-200,4838,2927,1911,0.6050020669698223,0.7285739312118148,0.12357186424199251,0.20029337435917252,0.27304309163360063,0.781464185068114,0.2472095907399752,0.8144009931719429,0.4709232062468752,2624,1018,893,303,0.7868951212452604,0.8332505616504724,0.8332977107203781,0.8182965299684543
CAID2,disorder_nox,LoRA-DR-Suite 650M,39,protein_length,1-200,4838,2927,1911,0.6050020669698223,0.7330275099187267,0.1280254429489044,0.20260013176208083,0.3086460509292683,0.608450901121613,0.3023976849937991,0.7783669141039238,0.34247846094731377,2569,806,1105,358,0.8258564365011727,0.8926129901757146,0.8924472399311223,0.7925356750823271
CAID2,disorder_nox,PUNCH2-Light Paper-8,39,protein_length,1-200,4838,2927,1911,0.6050020669698223,0.47107116001924354,-0.13393090695057874,0.24023638524883478,0.3506804526601695,0.8151320290740087,0.2937164117403886,0.7377744971396936,0.4156843795233863,1999,1418,493,928,0.7540429538086819,0.7369594515940503,0.7372487546608064,0.8322580645161289
CAID2,disorder_nox,PUNCH2-Light Released-13,39,protein_length,1-200,4838,2927,1911,0.6050020669698223,0.49801183358408435,-0.10699023338573793,0.22663650997104384,0.3282947097515089,0.7989302667068552,0.27821413807358414,0.7553616866593967,0.44075429216666706,2078,1414,497,849,0.7567155216137595,0.7370541628837763,0.7373240884372737,0.8321623731459797
CAID2,disorder_nox,A10-locked,52,known_label_disorder_fraction,"(0.60,1.00]",18259,15144,3115,0.8293992003943261,0.8668702841988087,0.03747108380448261,0.10569040800333938,0.13880253963295963,0.4263062060528636,0.12492469467112109,0.9266111128985554,0.5164890509505906,14400,1578,1537,744,0.8384748681252804,0.9503281090607337,0.9503333969139476,0.9269475794715908
