model,display_name,seed,micro_roc_auc,micro_pr_auc,macro_roc_auc
a2_reference,A2 gated four-scale,17,0.9594494613874107,0.9668188131042029,0.8615031117528942
a2_reference,A2 gated four-scale,29,0.9536157224620335,0.96041129794432,0.8764106431453662
a2_reference,A2 gated four-scale,43,0.9572274658108466,0.9657094108843723,0.880020776754155
a8_learned_mix,A8 learned layer mix,17,0.9611544085376978,0.9678263297501921,0.855931384371655
a8_learned_mix,A8 learned layer mix,29,0.9594812065831546,0.9665581160747644,0.8627814749624961
a8_learned_mix,A8 learned layer mix,43,0.9595108553787273,0.9667141518932889,0.8548762074382941
ungated_add,Direct ungated addition,17,0.9598644977155437,0.966791321596467,0.8653256952759618
ungated_add,Direct ungated addition,29,0.9526711816461796,0.9596821430653368,0.8757192943087228
ungated_add,Direct ungated addition,43,0.9576713025053999,0.9656550382465159,0.8802002801469175
additive_projection,Parameter-matched additive projection,17,0.9597385451409329,0.9670177969756222,0.8657454994358266
additive_projection,Parameter-matched additive projection,29,0.946958469871622,0.9523568788301151,0.8690487213711338
additive_projection,Parameter-matched additive projection,43,0.956429592308681,0.9647090963921551,0.8808467628886828
single_k3,Single scale k=3,17,0.9549858946332426,0.9615695112378003,0.8661049663939284
single_k3,Single scale k=3,29,0.9549502136039171,0.9631087047326482,0.8682415828620046
single_k3,Single scale k=3,43,0.9569166502759906,0.9656875777922045,0.8685788352287435
single_k7,Single scale k=7,17,0.9555648818983851,0.9627680027232494,0.8673032049543141
single_k7,Single scale k=7,29,0.9549418257114988,0.9622914770997593,0.8650283601862535
single_k7,Single scale k=7,43,0.9567242878846828,0.9655592025272819,0.8719030710799017
single_k15,Single scale k=15,17,0.9563960099225002,0.9641779591496056,0.8689630753026838
single_k15,Single scale k=15,29,0.9538111238875571,0.9612430056161803,0.8742620659409006
single_k15,Single scale k=15,43,0.9565017435527244,0.965600007532347,0.8780647275334559
single_k31,Single scale k=31,17,0.9579650721233787,0.9655528605703191,0.8632431758652465
single_k31,Single scale k=31,29,0.9537122099211073,0.9605524606464424,0.8737305151551783
single_k31,Single scale k=31,43,0.957038780482229,0.9658716091425656,0.8728538646786048
uniform_layer_mix,Fixed uniform layer mix,17,0.960631480546155,0.9675611687787972,0.8567051883276535
uniform_layer_mix,Fixed uniform layer mix,29,0.9591882672554981,0.9663670750090373,0.8631427130720495
uniform_layer_mix,Fixed uniform layer mix,43,0.9597861289486221,0.9664689226877305,0.8588197937719411
