DP04717	train__DP01867	0.542	1073	1106	1073	0.948	1.000
DP03807	caid23__DP02649	0.406	1455	1454	1474	0.997	0.987
DP04353	caid23__DP04352	0.409	1595	1597	1397	0.999	0.999
DP03917	train__DP01553	0.459	157	172	156	0.913	0.974
DP03917	train__DP01550	0.446	158	172	162	0.919	0.938
DP04358	caid23__DP03898	0.891	478	480	486	0.996	0.984
DP04451	train__DP01309	0.318	302	364	372	0.802	0.812
DP04445	train__DP01938	0.661	617	646	654	0.955	0.943
DP03750	caid23__DP03812	0.303	310	321	315	0.947	0.984
DP04570	train__DP01431	0.536	93	97	94	0.959	0.968
DP04607	caid23__DP03914	0.330	694	612	707	0.964	0.982
DP04415	train__DP01158	0.717	123	131	126	0.924	0.976
DP04415	train__DP01649	0.731	123	131	126	0.924	0.976
DP03051	train__DP00238	0.561	1858	1817	1863	0.992	0.997
DP04483	caid23__DP04283	0.321	220	231	240	0.931	0.917
DP04538	train__DP01161	0.312	463	488	504	0.926	0.919
DP04446	train__DP01938	0.661	617	650	654	0.949	0.943
DP03919	train__DP00334	0.328	462	490	491	0.943	0.941
DP03919	train__DP01133	0.328	462	490	497	0.943	0.930
DP04436	train__DP01139	0.999	1038	1038	1038	1.000	1.000
DP04436	train__DP01999	0.971	951	1038	964	0.915	0.987
DP04330	train__DP00630	0.305	115	121	127	0.950	0.874
DP04311	caid23__DP03916	0.457	59	59	68	1.000	0.838
DP04414	caid23__DP04302	0.748	127	132	130	0.947	0.977
DP04407	train__DP01309	0.322	302	361	372	0.809	0.812
DP04303	train__DP01158	0.952	126	126	126	1.000	1.000
DP04303	train__DP01649	0.952	126	126	126	1.000	1.000
DP04413	caid23__DP04281	0.889	136	136	136	1.000	1.000
DP04810	caid23__DP03395	0.979	1756	1756	1756	1.000	1.000
DP04429	caid23__DP03618	0.999	1083	1083	1083	1.000	1.000
DP04360	train__DP00337	0.303	142	173	151	0.821	0.801
DP04511	train__DP00965	0.907	195	214	195	0.911	1.000
DP04571	train__DP01431	0.408	95	104	94	0.913	0.957
DP04135	train__DP01817	0.646	732	747	746	0.980	0.980
DP04569	train__DP01431	0.467	91	91	94	0.956	0.968
DP04420	caid23__DP04276	0.354	547	660	665	0.829	0.811
DP04813	train__DP00965	0.912	195	195	195	1.000	1.000
DP04326	caid23__DP04232	0.588	1185	1186	1104	0.999	0.999
DP04452	train__DP01309	0.323	302	360	372	0.811	0.812
DP04507	caid23__DP03737	0.927	716	716	684	1.000	1.000
