model,metric,point_estimate,bootstrap_mean,bootstrap_sample_sd,ci_95_percentile_low,ci_95_percentile_high,bootstrap_unit,bootstrap_replicates
MUSE-IDR A10,roc_auc_full_precision,0.9778267957639984,0.9780971937330312,0.006410358175608682,0.9643046151176313,0.9894845738302782,whole_protein_cluster,2000
MUSE-IDR A10,aucpr_trapezoid_full_precision,0.8479503964779987,0.8388198457481365,0.07345461320689654,0.6542015870652688,0.9391617488060675,whole_protein_cluster,2000
MUSE-IDR A10,aps_full_precision,0.8479859005511463,0.8389333768737238,0.07334698890474747,0.6546437194634162,0.9391819606045351,whole_protein_cluster,2000
MUSE-IDR A10,f1_at_0_5_full_precision,0.747267395361237,0.7442432884344816,0.07186526657344681,0.5800875845343605,0.8561306508962123,whole_protein_cluster,2000
MUSE-IDR A10,mcc_at_0_5_full_precision,0.7328727719870782,0.7318963555058308,0.06222651725410832,0.5912983185632128,0.8363522807626699,whole_protein_cluster,2000
MUSE-IDR A10,fmax_full_precision,0.8176656151419558,0.8201684865989114,0.05172861997553459,0.6991054251635245,0.8973362497540666,whole_protein_cluster,2000
MUSE-IDR A10,brier_score,0.05036215516713715,0.04992032892914497,0.009784974488990463,0.030800333427175124,0.06959772008213805,whole_protein_cluster,2000
MUSE-IDR A10,macro_roc_auc,0.8959515000618105,0.8969883995620349,0.032249019941520456,0.8283025725420018,0.9532535421775642,whole_protein_cluster,2000
PUNCH2-Light Released-13,roc_auc_full_precision,0.9621355747575036,0.962443518046516,0.011986863894326908,0.9368040311019605,0.9827342031304642,whole_protein_cluster,2000
PUNCH2-Light Released-13,aucpr_trapezoid_full_precision,0.8062410563659996,0.8012077673166301,0.07329630633363109,0.6221333224399987,0.9076824997133308,whole_protein_cluster,2000
PUNCH2-Light Released-13,aps_full_precision,0.8062720653996319,0.8012840937059441,0.07324754472977699,0.6222829068087408,0.907712644875932,whole_protein_cluster,2000
PUNCH2-Light Released-13,f1_at_0_5_full_precision,0.7216599190283401,0.7142046022541366,0.06843929208912068,0.5611321283379885,0.8259793562694978,whole_protein_cluster,2000
PUNCH2-Light Released-13,mcc_at_0_5_full_precision,0.692008863954123,0.6862382393533469,0.06967639985533786,0.5290989565346795,0.8020884576439425,whole_protein_cluster,2000
PUNCH2-Light Released-13,fmax_full_precision,0.7321624588364435,0.7325375047702586,0.06621118769848505,0.5820202923344463,0.8411191736378808,whole_protein_cluster,2000
PUNCH2-Light Released-13,brier_score,0.04015965721008011,0.040636472409835526,0.008333757189945109,0.02592100347901316,0.05834209889785345,whole_protein_cluster,2000
PUNCH2-Light Released-13,macro_roc_auc,0.893297807813192,0.8938821885422782,0.028289103616585307,0.833842763831149,0.945976605795666,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,roc_auc_full_precision,0.9428914786903315,0.943218727790598,0.01035087387951651,0.9209633127208784,0.9614005996951785,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,aucpr_trapezoid_full_precision,0.6025597107828379,0.6052607412520279,0.08468911233959299,0.43291435016049934,0.7599590120086881,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,aps_full_precision,0.6027893814158422,0.6056536598450207,0.08460829961590062,0.43341334850698565,0.7600963838919313,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,f1_at_0_5_full_precision,0.646297825488577,0.6391606867340732,0.07358471028777225,0.47710948715099283,0.765335601993822,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,mcc_at_0_5_full_precision,0.6125196762758564,0.6076552430876075,0.06865389376232725,0.46052177802015304,0.7263732539622715,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,fmax_full_precision,0.6472767183427082,0.654041356784699,0.07080283315105873,0.5023020558008727,0.7763531932504352,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,brier_score,0.06317237890119838,0.06381314649923911,0.008102960584035155,0.04869881698205879,0.08063018650911842,whole_protein_cluster,2000
LoRA-DR-Suite ESM2-650M DisProt7,macro_roc_auc,0.8940215016475435,0.8945936041228201,0.028177302662365865,0.833186829906451,0.9438705627202736,whole_protein_cluster,2000
