protein_id,source_entry_release,model,length,known_residues,positive_residues,negative_residues,roc_auc_full_precision,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,brier_score
DP03245,2023_12,MUSE-IDR A10,2752,21,0,21,,0.0,0.0,0.9461843728103572
DP03245,2023_12,PUNCH2-Light Released-13,2752,21,0,21,,0.0,0.0,0.5606994903673138
DP03245,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,2752,21,0,21,,0.0,0.0,0.28600853301456414
DP03747,2026_06,MUSE-IDR A10,523,173,173,0,,0.91875,0.0,0.14219335028927096
DP03747,2026_06,PUNCH2-Light Released-13,523,173,173,0,,0.44144144144144143,0.0,0.5373167483599206
DP03747,2026_06,LoRA-DR-Suite ESM2-650M DisProt7,523,173,173,0,,0.8980891719745222,0.0,0.21648823555228255
DP03751,2024_06,MUSE-IDR A10,250,219,0,219,,0.0,0.0,0.004409661422674283
DP03751,2024_06,PUNCH2-Light Released-13,250,219,0,219,,0.0,0.0,0.007331188234782562
DP03751,2024_06,LoRA-DR-Suite ESM2-650M DisProt7,250,219,0,219,,0.0,0.0,0.026969222773375687
DP04003,2023_12,MUSE-IDR A10,209,75,75,0,,1.0,0.0,0.00051080598210019
DP04003,2023_12,PUNCH2-Light Released-13,209,75,75,0,,0.6607142857142857,0.0,0.27446286260257885
DP04003,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,209,75,75,0,,1.0,0.0,0.06561282466383128
DP04061,2023_12,MUSE-IDR A10,1703,134,0,134,,0.0,0.0,0.005329492529938874
DP04061,2023_12,PUNCH2-Light Released-13,1703,134,0,134,,0.0,0.0,0.0033096148093703617
DP04061,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,1703,134,0,134,,0.0,0.0,0.0008722636920085688
DP04124,2023_12,MUSE-IDR A10,855,28,28,0,,1.0,0.0,3.550950776853833e-05
DP04124,2023_12,PUNCH2-Light Released-13,855,28,28,0,,1.0,0.0,0.00939879746962474
DP04124,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,855,28,28,0,,1.0,0.0,0.12182054904697258
DP04129,2023_12,MUSE-IDR A10,3142,2337,112,2225,0.9997431781701445,0.9411764705882353,0.9398382202005899,0.007021222524405986
DP04129,2023_12,PUNCH2-Light Released-13,3142,2337,112,2225,0.9990810593900482,0.9519650655021833,0.9497419462364207,0.007695437231626365
DP04129,2023_12,LoRA-DR-Suite ESM2-650M DisProt7,3142,2337,112,2225,0.9882303370786518,0.06504065040650406,0.10164050673659739,0.02585847736364077
DP04138,2023_12,MUSE-IDR A10,397,212,87,125,0.6776091954022987,0.7131147540983606,0.4937830050244292,0.3174043507424956
DP04138,2023_12,PUNCH2-Light Released-13,397,212,87,125,0.8084597701149425,0.780269058295964,0.6236514863852953,0.1943037593375171
