protein_id	length	source_entry_release	positive_residues	negative_residues	unknown_residues	has_both_classes
DP03245	2752	2023_12	0	21	2731	False
DP03747	523	2026_06	173	0	350	False
DP03751	250	2024_06	0	219	31	False
DP04003	209	2023_12	75	0	134	False
DP04061	1703	2023_12	0	134	1569	False
DP04124	855	2023_12	28	0	827	False
DP04129	3142	2023_12	112	2225	805	True
DP04138	397	2023_12	87	125	185	True
DP04272	1455	2026_06	26	1161	268	True
DP04305	630	2026_06	0	446	184	False
DP04307	672	2026_06	30	198	444	True
DP04312	782	2026_06	0	92	690	False
DP04313	159	2026_06	20	0	139	False
DP04315	249	2026_06	0	158	91	False
DP04316	487	2026_06	57	67	363	True
DP04318	280	2026_06	19	128	133	True
DP04319	246	2026_06	0	223	23	False
DP04320	773	2026_06	0	335	438	False
DP04325	4834	2025_06	42	1539	3253	True
DP04332	545	2026_06	0	339	206	False
DP04339	190	2026_06	0	57	133	False
DP04359	245	2026_06	0	219	26	False
DP04362	432	2026_06	0	283	149	False
DP04406	517	2026_06	112	0	405	False
DP04408	348	2026_06	65	245	38	True
DP04409	107	2026_06	61	36	10	True
DP04411	213	2026_06	0	168	45	False
DP04419	711	2026_06	553	8	150	True
DP04433	250	2025_06	250	0	0	False
DP04434	152	2025_06	152	0	0	False
DP04435	182	2025_06	182	0	0	False
DP04437	482	2026_06	0	431	51	False
DP04438	1006	2026_06	0	736	270	False
DP04448	709	2026_06	0	609	100	False
DP04453	507	2026_06	146	356	5	True
DP04458	539	2026_06	0	405	134	False
DP04459	187	2026_06	15	136	36	True
DP04461	615	2026_06	0	383	232	False
DP04464	668	2026_06	0	627	41	False
DP04465	650	2026_06	0	561	89	False
DP04466	1205	2026_06	0	643	562	False
DP04467	207	2026_06	0	177	30	False
DP04470	717	2026_06	0	558	159	False
DP04472	368	2026_06	0	341	27	False
DP04473	468	2026_06	0	438	30	False
DP04474	89	2026_06	0	63	26	False
DP04476	398	2026_06	0	252	146	False
DP04481	196	2026_06	0	118	78	False
DP04482	359	2026_06	0	253	106	False
DP04486	268	2026_06	0	243	25	False
DP04489	281	2026_06	0	228	53	False
DP04491	393	2026_06	14	220	159	True
DP04492	330	2026_06	25	293	12	True
DP04494	91	2026_06	0	69	22	False
DP04501	105	2026_06	0	68	37	False
DP04508	460	2026_06	128	292	40	True
DP04509	444	2026_06	63	0	381	False
DP04516	61	2026_06	24	0	37	False
DP04518	1017	2026_06	0	342	675	False
DP04521	649	2026_06	0	152	497	False
DP04522	377	2026_06	39	64	274	True
DP04524	266	2026_06	0	219	47	False
DP04526	346	2026_06	0	277	69	False
DP04527	356	2026_06	10	224	122	True
DP04530	245	2026_06	0	211	34	False
DP04531	623	2026_06	18	0	605	False
DP04533	1188	2026_06	11	91	1086	True
DP04534	578	2026_06	34	10	534	True
DP04535	312	2026_06	18	75	219	True
DP04536	555	2026_06	0	401	154	False
DP04539	757	2026_06	0	405	352	False
DP04542	643	2026_06	0	316	327	False
DP04563	291	2026_06	0	217	74	False
DP04564	185	2026_06	0	72	113	False
DP04565	272	2026_06	24	233	15	True
DP04566	367	2026_06	0	319	48	False
DP04568	5037	2026_06	0	4640	397	False
DP04574	707	2026_06	386	311	10	True
DP04578	619	2026_06	0	426	193	False
DP04587	963	2026_06	0	154	809	False
DP04609	1114	2026_06	0	257	857	False
DP04615	190	2026_06	0	113	77	False
DP04619	166	2026_06	0	148	18	False
DP04643	485	2026_06	0	465	20	False
DP04750	1514	2026_06	0	387	1127	False
DP04817	242	2026_06	0	150	92	False
DP04818	237	2026_06	0	124	113	False
