protein_id,source_entry_release,length,known_residues,positive_residues,negative_residues,roc_auc_full_precision,aps_full_precision,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,brier_score
DP03245,2023_12,2752,21,0,21,,,0.0,0.0,0.9461843728103572
DP03747,2026_06,523,173,173,0,,,0.91875,0.0,0.14219335028927096
DP03751,2024_06,250,219,0,219,,,0.0,0.0,0.004409661422674283
DP04003,2023_12,209,75,75,0,,,1.0,0.0,0.00051080598210019
DP04061,2023_12,1703,134,0,134,,,0.0,0.0,0.005329492529938874
DP04124,2023_12,855,28,28,0,,,1.0,0.0,3.550950776853833e-05
DP04129,2023_12,3142,2337,112,2225,0.9997431781701445,0.9949130974329072,0.9411764705882353,0.9398382202005899,0.007021222524405986
DP04138,2023_12,397,212,87,125,0.6776091954022987,0.5573617702044049,0.7131147540983606,0.4937830050244292,0.3174043507424956
DP04272,2026_06,1455,1187,26,1161,0.9999668720598953,0.9985754985754985,0.9615384615384616,0.9606771350957397,0.00274148365730197
DP04305,2026_06,630,446,0,446,,,0.0,0.0,0.1683927914269459
DP04307,2026_06,672,228,30,198,0.9993265993265994,0.9956561302681992,0.967741935483871,0.9633432944855655,0.0220798943848495
DP04312,2026_06,782,92,0,92,,,0.0,0.0,0.029210982180189315
DP04313,2026_06,159,20,20,0,,,1.0,0.0,0.00013104211625842227
DP04315,2026_06,249,158,0,158,,,0.0,0.0,0.057863804820306966
DP04316,2026_06,487,124,57,67,0.8316313170987171,0.6592403595853334,0.6298342541436464,0.0,0.4205217247372146
DP04318,2026_06,280,147,19,128,0.9453125,0.5506450160340579,0.33628318584070793,0.2892982613887494,0.35485688152015926
DP04319,2026_06,246,223,0,223,,,0.0,0.0,0.00515826040277069
DP04320,2026_06,773,335,0,335,,,0.0,0.0,0.19628188901778013
DP04325,2025_06,4834,1581,42,1539,0.9967356663263096,0.9346549216116877,0.8351648351648353,0.8329258614880055,0.010600727246761303
DP04332,2026_06,545,339,0,339,,,0.0,0.0,0.006482772970885489
DP04339,2026_06,190,57,0,57,,,0.0,0.0,0.12427030357933894
DP04359,2026_06,245,219,0,219,,,0.0,0.0,8.293785763203548e-05
DP04362,2026_06,432,283,0,283,,,0.0,0.0,0.0089299211763387
DP04406,2026_06,517,112,112,0,,,1.0,0.0,5.567279515876602e-05
DP04408,2026_06,348,310,65,245,0.9415384615384615,0.9067288909896927,0.9166666666666666,0.9016492346711702,0.047072583240204496
DP04409,2026_06,107,97,61,36,1.0,1.0,0.8039215686274509,0.6573312020081576,0.11082861965687395
DP04411,2026_06,213,168,0,168,,,0.0,0.0,0.09312234171363362
DP04419,2026_06,711,561,553,8,0.8779385171790235,0.9981453031928833,0.9364928909952607,-0.04123410524660024,0.09257900150271549
DP04433,2025_06,250,250,250,0,,,1.0,0.0,0.0013499159350166185
DP04434,2025_06,152,152,152,0,,,1.0,0.0,0.0008833829378745591
DP04435,2025_06,182,182,182,0,,,1.0,0.0,0.01195643522511545
DP04437,2026_06,482,431,0,431,,,0.0,0.0,0.04200011827064494
